"","V1"
"3416","I love this product. I will order a second one for another room in the house as I can afford the extra money. It is a very mobile item but the TV I have it on is hard to get in and out so it would just be convenient to have another.  This offers an extreme amount of ways to watch movies, listen to music (all the Aps you have on your phone/Ipod; Spotify, Vevo, Pandora, IHeart, You-tube etc) and even watch local channels and some popular cable channels along with HBO. Bye, Bye outrageous cable bills!!"
"3417","easy to use, just plug in follow directions and go. Side note in reviewing the movies the content is usually short. It should be lengthened for the viewer to read. This is due probably to the vendor of movies and the format it's set on, Not an Amazon thing. I have enjoyed the new Fire Stick thus far and its an alternative to cable. You can watch any of your favorite stars, favorite movies, Sports, even your favorite news station.I'm still trying all the other channels that are available."
"3418","This is a great companion for the 55 inch UHDTV I got on Black Friday.  This was a Cyber Monday impulse purchase, and I am glad I did.I don't watch a lot of TV and see no reason to pay for access to hundreds of cable channels that I am not interested in watching.  I think this will be a great alternative with lots of good quality free Amazon shows and movies available when I do want an evening of distraction entertainment, and using the Alexa voice command is kinda fun - and sometimes helpful."
"3419","the remote with this device does not work  like the first generation one. went ahead and ordered older remote with this fire stick. people are wanting the 1st generation fire stick so why doesn't amazon make it available and give the customer the choice. either way you make a sale and customer is satisified. also I would not have ordered fire stick had I known that ship date was in march, to me this info should have been known pryor to making order. to tell the truth it left a bad taste in my mouth."
"3420","This my 2nd fire stick purchase. The first one is in my den and someone is always hogging that TV to watch sports.So, I purchased a 2nd one for the bedrooms- now I have unlimiteda access to Amazon Prime shows and movies. This FIreStick has Alexa and I just love it.  I will probably buy one more for the living room TV.  Another cool feature is to upload your photos to Amazon and you can view them on your TV. Definitely recommend this product. It's much easier to use than another product that I cannot name."
"3421","Great for your move to cut cable.  Load  Kodi and Droid Buddy on it as soon as you can. Go to Yootube on your wireless laptop or tablet and follow instructions on how to load Kodi and Droid Buddy.  If you have 4K and/or do a lot of gaming get Amazon Firebox instead."
"3422","wish it had better pick up with the remote. you have to push the button several times in different angles to get it to pick up. I love the stick however, and I was told about the Kodi app. It is amazing."
"3423","While it works great for Netflix and Amazon movies.  It is absolutely terrible at live streaming ESPN and MLB tv games, the audio is spot in but the video gets choppy.  Since this is my primary source of tv viewing maybe I made a huge mistake the firestick.  Maybe a Roku would have been a better investment.  I just thought it would be nice to not have another set of video/audio cord coming from my tv.  Just fix the live streaming stuff."
"3424","A gift from my husband to make it easy to watch netflix in the bathtub (I know... what a slacker!). But it really is a quality remote that is easy to use."
"3425","i like this,, cheaper than cable with my amazon prime subscription,,think about it,,at $100 a month for cable, vrs just my annual prime cost!!  no brainer"
"3426","Love it.  Couldn't be happier with the to of access I have to programs, apps, shows, etc.  It was really easy to install and I followed YOUTUBE video tutorials to add additional downloads."
